EdgeDesc,Begin,End,Note
Arrow,5.NF.4.a||a/b x n,5.NF.4,
Nondirectional link,5.NF.4.a||a/b x n,5.NF.6||a/b x n,
Nondirectional link,5.NF.5,5.OA.2,
Arrow,5.NF.5,6.RP.1,
Arrow,5.NF.6,5.MD.2,
Nondirectional link,5.NF.6,5.NF.7,
Arrow,5.NF.6||a/b x n,5.NF.6||no mixed,
Nondirectional link,5.NF.6||no mixed,5.NF.4,
Nondirectional link,5.NF.6||no mixed,5.NF.5,
Arrow,5.NF.6||no mixed,5.NF.6,
Arrow,5.NF.7,5.NBT.7||no concrete,
Arrow,5.NF.7,6.NS.1,
Arrow,5.NF.7,6.RP.2,
Arrow,5.NF.7.c,5.MD.2,
Arrow,5.OA.1,5.OA.2,
Arrow,5.OA.2,6.EE.2,
Arrow,5.OA.2,"6.EE.3,4",
Arrow,5.OA.2,6.NS.4,
Arrow,5.OA.3,6.EE.2,
Arrow,5.OA.3,6.EE.9,
Arrow,5.OA.3,6.RP.1,
Arrow,6.EE.1,6.EE.2,
Arrow,6.EE.1,8.EE.1,
Arrow,6.EE.2,"6.EE.3,4",
Arrow,6.EE.2,6.EE.5,
Arrow,6.EE.2,6.EE.6,
Arrow,"6.EE.3,4",7.EE.1,
Nondirectional link,6.EE.5,6.EE.7||whole numbers,
Nondirectional link,6.EE.5,6.EE.8,
Arrow,6.EE.5,8.EE.2,
Arrow,6.EE.5,8.EE.8,
Nondirectional link,6.EE.6,6.EE.7||whole numbers,
Arrow,6.EE.6,7.EE.4.a||no fluency,
Arrow,6.EE.6,7.EE.4.b,
Arrow,6.EE.7,7.EE.4.a||no fluency,
Arrow,6.EE.7||whole numbers,6.EE.7,
Nondirectional link,6.EE.7||whole numbers,6.EE.9,
Nondirectional link,6.EE.7||whole numbers,6.RP.3.b,
Arrow,6.EE.8,7.EE.4.b,
Nondirectional link,6.EE.9,6.EE.7,
Nondirectional link,6.EE.9,6.RP.3.b,
Arrow,6.G.1,6.G.4,
Arrow,6.G.1,7.G.1,
Arrow,6.G.1,7.G.4,
Arrow,6.G.1,7.G.6,
Arrow,6.G.2,7.G.6,
Arrow,6.G.3,8.G.3,
Arrow,6.G.3,8.G.8,
Arrow,6.G.4,7.G.6,
Arrow,6.NS.1,6.EE.7||whole numbers,
Arrow,6.NS.1,7.NS.2.c,
Arrow,6.NS.1,7.SP.3,
Arrow,6.NS.2,6.NS.3,
Arrow,6.NS.3,7.NS.3,
Arrow,6.NS.4,"6.EE.3,4",
Arrow,6.NS.5,6.NS.6.a,
Arrow,6.NS.5,7.NS.1.a,
Arrow,6.NS.6.a,6.EE.8,
Arrow,6.NS.6.a,6.NS.6.b,
Arrow,6.NS.6.a,6.NS.6.c,
Arrow,6.NS.6.a,6.NS.7.c,
Arrow,6.NS.6.a,7.NS.1.a,
Arrow,6.NS.6.a,7.NS.1.b,
Nondirectional link,6.NS.6.b,6.NS.6.c,
Arrow,6.NS.6.b,6.NS.8,
Arrow,6.NS.6.c,6.EE.8,
Arrow,6.NS.6.c,6.NS.7.a,
Arrow,6.NS.6.c,6.NS.7.b,
Arrow,6.NS.7.a,6.EE.8,
Arrow,6.NS.7.a,6.NS.7.d,
Arrow,6.NS.7.b,6.EE.8,
Nondirectional link,6.NS.7.b,6.NS.7.a,
Arrow,6.NS.7.b,6.NS.7.d,
Arrow,6.NS.7.c,6.NS.7.d,
Arrow,6.NS.7.c,7.NS.1.b,
Arrow,6.NS.7.c,7.NS.1.c,
Nondirectional link,6.NS.8,6.G.3,
Arrow,6.NS.8,8.SP.1,
Arrow,6.RP.1,6.RP.2,
Arrow,6.RP.1,6.RP.3.a,
Arrow,6.RP.2,6.RP.3.b,
Arrow,6.RP.2,6.RP.3.c,
Arrow,6.RP.2,6.RP.3.d,
Arrow,6.RP.2,7.RP.1,
Arrow,6.RP.2,7.RP.2,
Arrow,6.RP.3,7.RP.2,
Arrow,6.RP.3,7.RP.3,
Nondirectional link,6.RP.3.a,6.EE.9,
Arrow,6.RP.3.a,6.RP.3.b,
Nondirectional link,6.RP.3.b,6.EE.7,
Nondirectional link,6.RP.3.c,6.EE.7,
Arrow,6.SP.1,6.SP.3,
Arrow,6.SP.1,7.SP.1,
Arrow,6.SP.2,6.SP.3,
Arrow,6.SP.2,6.SP.5,
Arrow,6.SP.2,7.SP.1,
Arrow,6.SP.2,7.SP.3,
Arrow,6.SP.3,6.SP.5,
Nondirectional link,6.SP.4,6.SP.5,
Nondirectional link,7.EE.1,7.EE.2,
Arrow,7.EE.1,8.EE.7.b,
Arrow,7.EE.3,8.EE.4,
Arrow,7.EE.4.a,7.EE.4.b,
Arrow,7.EE.4.a,8.EE.7.b,
Arrow,7.EE.4.a,8.EE.8,
Arrow,7.EE.4.a||no fluency,7.EE.4.a,
Arrow,7.G.1,8.EE.6,
Arrow,7.G.2,8.G.1,
Arrow,7.G.5,8.G.1,
Arrow,7.G.6,8.G.6,
Nondirectional link,7.NS.1.a,7.NS.1.b,
Arrow,7.NS.1.b,7.NS.1.c,
Arrow,7.NS.1.b,7.NS.1.d,
Arrow,7.NS.1.c,7.NS.1.d,
Arrow,7.NS.1.d,7.NS.2.a,
Arrow,7.NS.1.d,7.NS.3,
Nondirectional link,7.NS.2.a,7.NS.2.b,
Nondirectional link,7.NS.2.a,7.NS.2.c,
Nondirectional link,7.NS.2.c,7.NS.2.b,
Arrow,7.NS.2.c,7.NS.3,
Arrow,7.NS.2.d,7.NS.3,
Arrow,7.NS.2.d,8.NS.1,
